differentially regulated genes
(p-value < 0.05, ratio > 2 or < 0.5)

gene	ratio	p-value
Slc4a1	0.157422648905	0.000159079103191
Lgals9	4.1453368389	0.000283539161586
Slc25a37	0.418091034644	0.000298221871959
Evi5l	0.393909218779	0.000494787079654
Gm16515	0.456757980008	0.000547569970615
Hyal1	0.10834847199	0.000619035742801
Gm13157	6.03903980298	0.000628717289122
Tubb1	0.0500936071348	0.000805607575305
Trp53inp2	0.255853956282	0.000881597753074
Nudt18	0.428323191847	0.000887221041571
Capn5	0.070909978424	0.000901482237129
Mir3062	39.6430134871	0.000918606220179
Rab3il1	0.176682221439	0.00108810439271
Crlf1	0.0671292176513	0.00112341680634
Ache	0.428562243353	0.00119899759685
Il1rl1	23.2104904943	0.00129769216816
Tmem184a	0.113134193892	0.00132452362669
Samsn1	6.70106578868	0.00142363234253
Sigmar1	2.89478949558	0.00180406050306
Bzw2	3.33210792321	0.00181047486081
Tcp11l1	0.254749712402	0.00182162194573
Bri3bp	3.09898317144	0.00187211706946
Crat	0.442213185623	0.00187360309106
2310046K01Rik	0.0296002034945	0.00196191383696
Slc6a9	0.28736555696	0.00199510862759
Casp3	2.43651060289	0.0020955959593
Tnfrsf13c	0.0970026310702	0.00266101754081
Myb	6.568676631	0.00266787647222
Flna	5.651359139	0.00285326761371
Pfkfb4	0.274279068254	0.00305997469392
Slc30a1	0.457447075468	0.0030881892957
Ube2h	0.428294272234	0.00310466120567
Wsb2	0.481799183683	0.00331377302426
Matn1	0.131177404853	0.00384776410933
Ypel4	0.0992019180607	0.00395059195745
Usp49	0.465035794576	0.0043785315889
Csf2rb	0.486282968115	0.0044540206344
Hmga1-rs1	2.2553457729	0.00453335189119
Fam46c	0.447177128486	0.00463002526511
Tmcc2	0.404833146528	0.0047733564238
St6galnac4	4.62806637667	0.00545409656448
Mxi1	0.437058884709	0.00573988444693
Tfap4	2.90610341723	0.00575803446935
Fam63b	0.450904020227	0.00585350830829
Smyd5	5.72749322924	0.00605328681802
Fn3k	0.0659652077338	0.00606665620507
Dnajb2	0.324318593387	0.00615779856701
Epb4.9	0.0982777061163	0.00665367150569
Abhd4	0.36115780534	0.00695688776091
Fam57b	0.108425302335	0.00701506317243
Rrp15	3.38571077061	0.00725521173112
Tubb3	0.0981618378193	0.00725632625437
Numbl	0.413459475384	0.00769189913706
Fbxo44	0.32316693938	0.00824954433392
Nefh	5.12116573824	0.00830619882277
Csf2rb2	0.246310873947	0.00839755202433
Abcb9	0.145818443446	0.00844500429834
Impa2	2.88253218437	0.00875063225494
Slc19a1	4.70340120255	0.0094124982668
Alas2	0.147330245371	0.00986550429249
Cpne9	0.0913932082771	0.0100117527957
Ydjc	3.1499415855	0.0101870416028
Rragd	0.113937502233	0.0102672065077
Ergic1	3.90886637969	0.0107805180989
Mdk	0.336329088494	0.0109618251125
Serf1	3.95488291669	0.011129414247
Fam132b	0.137221446873	0.0116643146812
C2cd2l	0.459574163355	0.0120322323672
Lat	9.02536124319	0.0120658346078
Sept9	3.89694594238	0.0128083479897
Slc46a3	0.374111881179	0.0132669272804
Cdk6	4.02792958358	0.013359802953
Tmem150a	0.27108612256	0.0137578173521
Ypel3	0.354862203916	0.0139109617351
Dhrs3	0.121340421209	0.0139665213146
Rcbtb2	5.07917598219	0.0139738321084
Mettl1	2.19057095787	0.0141526510246
Tbx6	0.161688658275	0.0144665041344
Def6	2.10680567933	0.0146054563431
Arhgap23	0.416248256375	0.0146064962429
1810058I24Rik	0.444775848003	0.0147633716743
Kalrn	0.15804042879	0.0149900156704
Ppp2r5b	0.387965836018	0.01526594949
Pxmp4	0.492949579161	0.0154129976442
Srxn1	0.248749138796	0.0155342627066
Uba7	0.485451715602	0.0156977171027
Ptprcap	3.02851611705	0.0160273097333
Ctsf	0.0464433533792	0.0162551314281
Fhdc1	0.296330804374	0.016655569084
Rgs12	0.349850679127	0.0172751462018
Gpatch4	2.23528326042	0.0174931405643
Hmga1	4.9403976304	0.0177489744379
Dyrk1b	0.485719421002	0.017813147792
Abcb10	0.483228596049	0.0178684915336
Slc38a5	0.133454144987	0.0178914525701
Map1lc3a	0.396969533097	0.0183008465683
Npm1	2.36349539818	0.018841308315
Padi3	0.352912293195	0.0191691632899
Ypel2	0.278571526815	0.0194823209339
Cpeb2	0.303044305029	0.0196882434843
Dlc1	4.01679843971	0.0200350922768
Dhrs11	0.4039129873	0.0205692166073
5730408K05Rik	3.10637345895	0.0215839144548
Vim	2.51001780662	0.0217116588763
Btg2	0.35343274301	0.0220564813784
Arhgdig	0.472141922806	0.0225796814659
Gm11974	2.23722196161	0.0227748997924
Dnmt3b	3.29300492055	0.0232850573216
St8sia4	7.00700425394	0.0235098545555
Arap3	5.22638434555	0.0239289464705
Dusp8	0.0744852921106	0.0246777083747
Spn	2.67382284463	0.0257407924372
Fkbp11	15.3802066723	0.0263637977957
Creb3l3	0.0502152034711	0.0269951780686
Dstyk	0.40551486923	0.0270822068564
Kit	4.47789386732	0.027320619114
Igsf8	2.13232292826	0.0275333894708
Mki67ip	2.08304086558	0.028225306464
B230312A22Rik	0.30928326471	0.0285175754999
Tulp2	0.321608359822	0.0292165021071
Elf1	0.465284608243	0.0301390466819
March8	0.479651446464	0.0319936582688
Hells	2.14281931685	0.0321870161371
Etv5	3.9723053748	0.0329667456829
Lpcat4	4.31315495371	0.0336436897582
Slc16a10	0.460148813704	0.0345613611606
Gcsh	2.39152222126	0.0351908504794
Pdia2	0.252428961568	0.036072466978
Mir486	0.430808167234	0.036555063047
Cdc25b	0.432512120874	0.0367183442995
Slc26a11	0.344398681414	0.036880877112
Snora28	26.6255725538	0.0378211570205
Hcls1	2.99901133997	0.0378439478618
1700097N02Rik	15.4654968662	0.0403870241456
Npm3	2.28720748256	0.0407857845917
Wbscr27	0.315253361447	0.0408680580282
Gp5	3.97471679834	0.040908350439
Gstt2	0.439216849651	0.0425248548085
Set	2.22907287249	0.0426408137038
Calcoco1	0.467897221149	0.0433698796936
Mmp14	2.72784491969	0.0436140228214
Itga7	0.0567457688932	0.0445329727279
Trp53inp1	0.327458666515	0.0445962629773
Tmem88b	0.0659145198579	0.0449413941401
Sept1	3.0649105008	0.045971111663
Btn1a1	0.326627019844	0.048318558038
Pdxk	3.00945266851	0.048563236158
Rcn3	0.233975052468	0.0495446035926


genes clustered with Map3k6 (k=30)

Rsl1d1, Tnfrsf13b, Ptpn6, Sox12, Myo1g, Slc19a1, Capg, Coro2a, Gcsh, Sept1, Spint2, Stat5a, Ydjc, Fyn, Hells, Arap3, Stard8, Sigmar1, Idh2, Impa2, Igsf8, Lpcat4, Bri3bp, Rrp15, Gp5, Itpkb, Dus4l, Marcksl1, Smyd5, Serf1, Fabp5, Gm11974, Rasl11a, Map3k6, Gm13157, Dlc1, Hcls1, Nefh, Lgals9, Samsn1, Tfap4, Rps29, Kit, Bzw2, Cdk6, Myb, Eef1g, Ergic1, Hif3a, Zfp710, Ccdc8, Fzd7, Flna, 1300001I01Rik, Mettl1, Npm3, Casp3, Gpatch4, Hmga1, Slc41a3, Mir3062, Arhgap9, Bid, Spn, Jak3, Mki67ip, Etv5, Fam65a, Pdxk, Kif21b, Dnmt3b, Rpl26, Npm1, Sept9, 5730408K05Rik, Sipa1l1
