t_id	chr	strand	start	end	t_name	num_exons	length	gene_id	gene_name	cov	FPKM	NO MATCH
1	211000022278158	+	592	1036	FBtr0114187	1	445	FBgn0085737	CR40502	0.106966	0.160107	NO MATCH
2	211000022278279	-	11634	12709	FBtr0347033	1	1076	FBgn0267594	CR45932	0.000000	0.000000	NO MATCH
3	211000022278282	+	518	2511	FBtr0114261	1	1994	FBgn0085807	CR41590	0.050150	0.075064	NO MATCH
4	211000022278298	+	648	1614	FBtr0114196	1	967	FBgn0085746	CR40571	0.000000	0.000000	NO MATCH
5	211000022278307	-	1	824	FBtr0114201	1	824	FBgn0085751	CR40582	0.000000	0.000000	NO MATCH
6	211000022278309	+	1	1110	FBtr0114198	1	1110	FBgn0085748	CR40573	0.000000	0.000000	NO MATCH
7	211000022278436	-	1551	2815	FBtr0300146	1	1265	FBgn0259849	Su(Ste):CR42418	0.000000	0.000000	NO MATCH
8	211000022278449	-	528	1635	FBtr0308947	2	1051	FBgn0085494	Mst77Y-16Psi	0.000000	0.000000	NO MATCH
9	211000022278498	-	13189	13940	FBtr0114286	1	752	FBgn0085828	CR42195	5.099113	7.632343	NO MATCH
10	211000022278522	-	390	2086	FBtr0114194	1	1697	FBgn0085744	CR40561	0.000000	0.000000	NO MATCH
11	211000022278603	-	1	834	FBtr0114206	1	834	FBgn0085756	CR40613	0.000000	0.000000	NO MATCH
12	211000022278604	+	1	265	FBtr0114202	1	265	FBgn0085752	CR40594	0.000000	0.000000	NO MATCH
13	211000022278664	-	1	1088	FBtr0114205	1	1088	FBgn0085755	CR40611	0.000000	0.000000	NO MATCH
14	211000022278724	-	930	2904	FBtr0114259	1	1975	FBgn0085805	CR41583	0.095190	0.142480	NO MATCH
15	211000022278750	+	1	1134	FBtr0114207	1	1134	FBgn0085757	CR40621	0.601293	0.900014	NO MATCH
16	211000022278760	-	562	879	FBtr0302344	2	264	FBgn0085506	CG40635	0.000000	0.000000	NO MATCH
17	211000022278875	+	1	2099	FBtr0114274	1	2099	FBgn0085816	CR41606	0.000000	0.000000	NO MATCH
18	211000022278877	+	1	549	FBtr0114208	1	549	FBgn0085758	CR40639	0.465574	0.696870	NO MATCH
19	211000022278878	+	1	569	FBtr0114209	1	569	FBgn0085759	CR40640	9.932105	14.866357	NO MATCH
20	211000022278879	+	1	559	FBtr0114210	1	559	FBgn0085760	CR40641	0.000000	0.000000	NO MATCH
21	211000022278880	+	1	540	FBtr0114253	1	540	FBgn0085799	CR41544	0.133333	0.199573	NO MATCH
22	211000022278985	-	497	1020	FBtr0114284	1	524	FBgn0085826	CR41620	0.000000	0.000000	NO MATCH
23	211000022279055	+	384	1123	FBtr0114214	1	740	FBgn0085764	CR40668	4.399550	6.585238	NO MATCH
24	211000022279108	+	1	566	FBtr0114211	1	566	FBgn0085761	CR40642	0.366078	0.547945	NO MATCH
