# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAC1	YMR056C	YMR056C	protein_coding	0	3	1	38	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	3	25
AAC3	YBR085W	YBR085W	protein_coding	1	2	1	69	0	0	0	0	39	1	0	0	1	0	0	0	0	0	0	0	0	2	30
AAD10	YJR155W	YJR155W	protein_coding	0	1	1	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	16
AAD14	YNL331C	YNL331C	protein_coding	0	6	3	54	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	6	51
AAD15	YOL165C	YOL165C	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AAD16	YFL057C	YFL057C	protein_coding	0	0	0	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36
AAD3	YCR107W	YCR107W	protein_coding	0	0	2	17	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	12
AAD4	YDL243C	YDL243C	protein_coding	0	3	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	3
AAD6	YFL056C	YFL056C	protein_coding	0	0	0	52	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	51
AAH1	YNL141W	YNL141W	protein_coding	0	0	0	22	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	11
AAP1	YHR047C	YHR047C	protein_coding	0	0	0	33	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	16
AAR2	YBL074C	YBL074C	protein_coding	0	0	1	10	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	4
AAT1	YKL106W	YKL106W	protein_coding	0	3	3	93	0	0	0	0	42	0	0	0	3	0	0	0	0	0	0	0	0	3	51
AAT2	YLR027C	YLR027C	protein_coding	0	3	1	22	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	3	7
ABD1	YBR236C	YBR236C	protein_coding	0	3	3	70	0	0	0	0	32	0	0	0	3	0	0	0	0	0	0	0	0	3	38
ABF1	YKL112W	YKL112W	protein_coding	0	12	4	58	0	0	0	0	32	0	0	0	4	0	0	0	0	0	0	0	0	12	26
ABF2	YMR072W	YMR072W	protein_coding	0	0	0	20	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ABM1	YJR108W	YJR108W	protein_coding	1	2	2	56	0	0	0	0	25	0	0	0	2	0	0	0	1	0	0	1	0	2	31
ABP1	YCR088W	YCR088W	protein_coding	0	2	5	25	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	2	22
ABP140	YOR239W	YOR239W	protein_coding	1	0	3	17	0	0	0	0	8	0	0	0	3	0	0	0	0	0	1	0	0	0	9
ABZ1	YNR033W	YNR033W	protein_coding	0	5	5	18	0	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	0	5	5
ABZ2	YMR289W	YMR289W	protein_coding	0	4	3	48	0	0	0	0	16	0	0	0	3	0	0	0	0	0	0	0	0	4	32
ACA1	YER045C	YER045C	protein_coding	0	8	9	57	0	0	0	0	12	0	0	0	9	0	0	0	0	0	0	0	0	8	45
ACB1	YGR037C	YGR037C	protein_coding	0	0	0	34	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ACC1	YNR016C	YNR016C	protein_coding	0	11	1	15	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	11	8
ACE2	YLR131C	YLR131C	protein_coding	0	1	2	13	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	1	7
ACF2	YLR144C	YLR144C	protein_coding	0	1	4	9	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	1	3
ACF4	YJR083C	YJR083C	protein_coding	0	3	4	72	0	0	0	0	35	0	0	0	4	0	0	0	0	0	0	0	0	3	37
ACH1	YBL015W	YBL015W	protein_coding	0	4	0	77	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	4	36
ACK1	YDL203C	YDL203C	protein_coding	0	14	6	61	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	0	14	37
ACM1	YPL267W	YPL267W	protein_coding	0	0	1	12	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	6
ACO1	YLR304C	YLR304C	protein_coding	1	8	0	34	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	8	23
ACO2	YJL200C	YJL200C	protein_coding	0	9	4	75	0	0	0	0	31	0	0	0	4	0	0	0	0	0	0	0	0	9	44
ACP1	YKL192C	YKL192C	protein_coding	0	1	1	75	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	0	0	1	53
ACS1	YAL054C	YAL054C	protein_coding	0	9	2	87	0	0	0	0	51	0	0	0	2	0	0	0	0	0	0	0	0	9	36
ACS2	YLR153C	YLR153C	protein_coding	0	1	2	26	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	1	7
ACT1	YFL039C	YFL039C	protein_coding	1	0	1	68	0	0	0	0	40	0	0	2	1	0	0	0	0	0	0	1	0	0	26
ADA2	YDR448W	YDR448W	protein_coding	0	1	1	12	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	1	5
ADD37	YMR184W	YMR184W	protein_coding	0	0	3	14	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	5
ADD66	YKL206C	YKL206C	protein_coding	0	0	0	64	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	17
ADE1	YAR015W	YAR015W	protein_coding	0	8	0	30	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	8	12
ADE12	YNL220W	YNL220W	protein_coding	0	3	2	21	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	3	13
ADE13	YLR359W	YLR359W	protein_coding	0	4	0	61	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	4	29
ADE16	YLR028C	YLR028C	protein_coding	0	2	2	16	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	2	3
ADE17	YMR120C	YMR120C	protein_coding	0	6	0	105	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	6	57
ADE2	YOR128C	YOR128C	protein_coding	0	4	1	58	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	0	4	28
ADE3	YGR204W	YGR204W	protein_coding	0	13	4	59	0	0	0	0	40	0	0	0	4	0	0	0	0	0	0	0	0	13	19
ADE4	YMR300C	YMR300C	protein_coding	0	1	2	45	0	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	1	29
